id,Project,type,Api,parameters,status,CVE,root cause
40,gin_vue_admin,TIP,POST /fileUploadAndDownload/editFileName,ID,merged,,File renaming does not check whether the file selected by the substituted ID is within the data scope the current requester may modify.
41,gin_vue_admin,TIP,DELETE /sysOperationRecord/deleteSysOperationRecord,ID,merged,,Operation-log deletion does not check whether the record selected by the substituted ID is within the data scope the current requester may delete.
42,gin_vue_admin,TIP,DELETE /sysOperationRecord/deleteSysOperationRecordByIds,ids,merged,,Batch deletion of operation logs does not check whether each record selected by the substituted ids is within the data scope the current requester may delete.
43,pybbs,TIP,GET /api/user/{username},username,accepted,CVE-2025-12***,"User-profile lookup by username lacks access controls for private fields such as tokens and contact information, exposing another user's private information in the returned profile."
44,openemr,TIP,PUT /api/patient/{pid}/encounter/{eid}/soap_note/{sid},sid,merged,,SOAP-note updates select the target solely by the substituted sid without checking whether the record belongs to the authorized pid and eid context in the request.
45,openemr,TIP,PUT /api/patient/{pid}/encounter/{eid}/vital/{vid},vid,merged,,Vital-sign updates do not check whether the record selected by the substituted vid belongs to the authorized pid and eid context in the request.
46,openemr,TIP,DELETE /api/patient/{pid}/appointment/{eid},eid,merged,,"Appointment deletion selects the target solely by the substituted eid, ignoring the path pid and failing to check whether the appointment belongs to that patient."
47,openemr,TIP,PUT /api/patient/{pid}/dental_issue/{did},did,merged,,Dental-record updates do not check whether the object selected by the substituted did belongs to the authorized patient and dental-record scope in the request.
48,openemr,TIP,PUT /api/patient/{pid}/surgery/{sid},sid,merged,,Surgery-record updates do not check whether the object selected by the substituted sid belongs to the authorized patient and surgery-record scope in the request.
49,openemr,TIP,PUT /api/patient/{puuid}/medical_problem/{muuid},muuid,merged,,"Medical-problem updates select the target solely by the substituted muuid, ignoring the path puuid and failing to check whether the record belongs to that patient."
50,mall,TIP,POST /cart/update/attr HTTP/1.1,id,merged,,Cart-item updates do not check whether the item selected by the substituted id belongs to the current requester.
51,mall,TIP,GET /order/detail/{orderId},orderId,merged,,Order-detail lookup does not check whether the current requester is authorized to access the order selected by the substituted orderId.
52,mall,TIP,POST /order/cancelOrder,orderId,merged,,"Before queuing an order cancellation, the handler does not check whether the current requester may cancel the order selected by the substituted orderId."
53,mall,TIP,POST /order/cancelUserOrder,orderId,merged,,Order cancellation does not check whether the order selected by the substituted orderId belongs to the current requester.
54,mall,TIP,POST /order/paySuccess,orderId,merged,,"Before marking an order as paid, the handler does not check whether the current requester may modify the order selected by the substituted orderId and its payment status."
55,mall,TIP,POST /member/readHistory/delete HTTP/1.1,ids,accepted,CVE-2025-13***,Browsing-history deletion does not check whether each record selected by the substituted ids belongs to the current requester.
56,mall,TIP,POST /member/address/update/{id},memberId,accepted,CVE-2025-15***,Address updates check ownership of the original address but do not check whether the requester may reassign it to another member by substituting memberId.
