sample_id,tool,project,target_api,候选序列1,候选序列2,候选序列3,label
C011,gpt-4o-mini CADS,ctfd,GET /api/v1/challenges/{challenge_id},POST /api/v1/brackets -> POST /api/v1/comments -> POST /api/v1/files -> POST /api/v1/hints -> POST /api/v1/notifications -> POST /api/v1/shares -> POST /api/v1/solutions -> POST /api/v1/tags -> POST /api/v1/tokens -> POST /api/v1/topics -> POST /api/v1/unlocks -> POST /api/v1/exports/raw -> GET /api/v1/pages -> POST /api/v1/pages -> GET /api/v1/pages/{page_id} -> POST /api/v1/awards -> GET /api/v1/files -> GET /api/v1/hints -> GET /api/v1/solutions -> GET /api/v1/tags -> GET /api/v1/tokens -> GET /api/v1/topics -> POST /api/v1/teams -> GET /api/v1/teams -> POST /api/v1/users -> GET /api/v1/users -> POST /api/v1/teams/me/members -> GET /api/v1/teams/me -> GET /api/v1/awards -> GET /api/v1/comments -> GET /api/v1/notifications -> GET /api/v1/submissions -> POST /api/v1/submissions -> GET /api/v1/unlocks -> POST /api/v1/configs -> POST /api/v1/configs/fields -> GET /api/v1/configs -> POST /api/v1/challenges -> POST /api/v1/challenges/attempt -> GET /api/v1/challenges -> POST /api/v1/flags -> GET /api/v1/flags -> GET /api/v1/challenges/{challenge_id},POST /api/v1/configs -> POST /api/v1/configs/fields -> GET /api/v1/configs -> POST /api/v1/challenges -> POST /api/v1/challenges/attempt -> GET /api/v1/challenges -> POST /api/v1/teams -> GET /api/v1/teams -> POST /api/v1/users -> GET /api/v1/users -> POST /api/v1/brackets -> POST /api/v1/comments -> POST /api/v1/files -> POST /api/v1/hints -> POST /api/v1/notifications -> POST /api/v1/shares -> POST /api/v1/solutions -> POST /api/v1/tags -> POST /api/v1/tokens -> POST /api/v1/topics -> POST /api/v1/unlocks -> POST /api/v1/exports/raw -> POST /api/v1/awards -> GET /api/v1/tags -> GET /api/v1/tokens -> GET /api/v1/topics -> GET /api/v1/pages -> POST /api/v1/pages -> GET /api/v1/pages/{page_id} -> GET /api/v1/hints -> GET /api/v1/files -> GET /api/v1/solutions -> POST /api/v1/teams/me/members -> GET /api/v1/teams/me -> POST /api/v1/flags -> GET /api/v1/flags -> GET /api/v1/awards -> GET /api/v1/unlocks -> GET /api/v1/submissions -> POST /api/v1/submissions -> GET /api/v1/comments -> GET /api/v1/notifications -> GET /api/v1/challenges/{challenge_id},POST /api/v1/teams -> GET /api/v1/teams -> POST /api/v1/users -> GET /api/v1/users -> POST /api/v1/brackets -> POST /api/v1/comments -> POST /api/v1/files -> POST /api/v1/hints -> POST /api/v1/notifications -> POST /api/v1/shares -> POST /api/v1/solutions -> POST /api/v1/tags -> POST /api/v1/tokens -> POST /api/v1/topics -> POST /api/v1/unlocks -> POST /api/v1/exports/raw -> GET /api/v1/pages -> POST /api/v1/pages -> GET /api/v1/pages/{page_id} -> POST /api/v1/awards -> GET /api/v1/files -> GET /api/v1/hints -> GET /api/v1/solutions -> GET /api/v1/tags -> GET /api/v1/tokens -> GET /api/v1/topics -> POST /api/v1/configs -> POST /api/v1/configs/fields -> GET /api/v1/configs -> POST /api/v1/teams/me/members -> GET /api/v1/teams/me -> GET /api/v1/unlocks -> GET /api/v1/awards -> GET /api/v1/comments -> GET /api/v1/notifications -> GET /api/v1/submissions -> POST /api/v1/submissions -> POST /api/v1/challenges -> POST /api/v1/challenges/attempt -> GET /api/v1/challenges -> POST /api/v1/flags -> GET /api/v1/flags -> GET /api/v1/challenges/{challenge_id},1
C012,gpt-4o-mini CADS,ctfd,GET /api/v1/challenges/{challenge_id}/topics,POST /api/v1/brackets -> POST /api/v1/comments -> POST /api/v1/files -> POST /api/v1/hints -> POST /api/v1/notifications -> POST /api/v1/shares -> POST /api/v1/solutions -> POST /api/v1/tags -> POST /api/v1/tokens -> POST /api/v1/topics -> POST /api/v1/unlocks -> POST /api/v1/exports/raw -> GET /api/v1/pages -> POST /api/v1/pages -> GET /api/v1/pages/{page_id} -> POST /api/v1/awards -> GET /api/v1/files -> GET /api/v1/hints -> GET /api/v1/solutions -> GET /api/v1/tags -> GET /api/v1/tokens -> GET /api/v1/topics -> POST /api/v1/teams -> GET /api/v1/teams -> POST /api/v1/users -> GET /api/v1/users -> POST /api/v1/teams/me/members -> GET /api/v1/teams/me -> GET /api/v1/awards -> GET /api/v1/comments -> GET /api/v1/notifications -> GET /api/v1/submissions -> POST /api/v1/submissions -> GET /api/v1/unlocks -> POST /api/v1/configs -> POST /api/v1/configs/fields -> GET /api/v1/configs -> POST /api/v1/challenges -> POST /api/v1/challenges/attempt -> GET /api/v1/challenges -> POST /api/v1/flags -> GET /api/v1/flags -> GET /api/v1/challenges/{challenge_id}/topics,POST /api/v1/configs -> POST /api/v1/configs/fields -> GET /api/v1/configs -> POST /api/v1/challenges -> POST /api/v1/challenges/attempt -> GET /api/v1/challenges -> POST /api/v1/teams -> GET /api/v1/teams -> POST /api/v1/users -> GET /api/v1/users -> POST /api/v1/brackets -> POST /api/v1/comments -> POST /api/v1/files -> POST /api/v1/hints -> POST /api/v1/notifications -> POST /api/v1/shares -> POST /api/v1/solutions -> POST /api/v1/tags -> POST /api/v1/tokens -> POST /api/v1/topics -> POST /api/v1/unlocks -> POST /api/v1/exports/raw -> POST /api/v1/awards -> GET /api/v1/tags -> GET /api/v1/tokens -> GET /api/v1/topics -> GET /api/v1/pages -> POST /api/v1/pages -> GET /api/v1/pages/{page_id} -> GET /api/v1/hints -> GET /api/v1/files -> GET /api/v1/solutions -> POST /api/v1/teams/me/members -> GET /api/v1/teams/me -> POST /api/v1/flags -> GET /api/v1/flags -> GET /api/v1/awards -> GET /api/v1/unlocks -> GET /api/v1/submissions -> POST /api/v1/submissions -> GET /api/v1/comments -> GET /api/v1/notifications -> GET /api/v1/challenges/{challenge_id}/topics,POST /api/v1/teams -> GET /api/v1/teams -> POST /api/v1/users -> GET /api/v1/users -> POST /api/v1/brackets -> POST /api/v1/comments -> POST /api/v1/files -> POST /api/v1/hints -> POST /api/v1/notifications -> POST /api/v1/shares -> POST /api/v1/solutions -> POST /api/v1/tags -> POST /api/v1/tokens -> POST /api/v1/topics -> POST /api/v1/unlocks -> POST /api/v1/exports/raw -> GET /api/v1/pages -> POST /api/v1/pages -> GET /api/v1/pages/{page_id} -> POST /api/v1/awards -> GET /api/v1/files -> GET /api/v1/hints -> GET /api/v1/solutions -> GET /api/v1/tags -> GET /api/v1/tokens -> GET /api/v1/topics -> POST /api/v1/configs -> POST /api/v1/configs/fields -> GET /api/v1/configs -> POST /api/v1/teams/me/members -> GET /api/v1/teams/me -> GET /api/v1/unlocks -> GET /api/v1/awards -> GET /api/v1/comments -> GET /api/v1/notifications -> GET /api/v1/submissions -> POST /api/v1/submissions -> POST /api/v1/challenges -> POST /api/v1/challenges/attempt -> GET /api/v1/challenges -> POST /api/v1/flags -> GET /api/v1/flags -> GET /api/v1/challenges/{challenge_id}/topics,1
C013,gpt-4o-mini CADS,ctfd,GET /api/v1/flags/{flag_id},POST /api/v1/configs -> POST /api/v1/configs/fields -> GET /api/v1/configs -> POST /api/v1/challenges -> POST /api/v1/challenges/attempt -> GET /api/v1/challenges -> POST /api/v1/teams -> GET /api/v1/teams -> POST /api/v1/users -> GET /api/v1/users -> POST /api/v1/brackets -> POST /api/v1/comments -> POST /api/v1/files -> POST /api/v1/hints -> POST /api/v1/notifications -> POST /api/v1/shares -> POST /api/v1/solutions -> POST /api/v1/tags -> POST /api/v1/tokens -> POST /api/v1/topics -> POST /api/v1/unlocks -> POST /api/v1/exports/raw -> POST /api/v1/awards -> GET /api/v1/tags -> GET /api/v1/tokens -> GET /api/v1/topics -> GET /api/v1/pages -> POST /api/v1/pages -> GET /api/v1/pages/{page_id} -> GET /api/v1/hints -> GET /api/v1/files -> GET /api/v1/solutions -> POST /api/v1/teams/me/members -> GET /api/v1/teams/me -> POST /api/v1/brackets -> POST /api/v1/comments -> POST /api/v1/hints -> POST /api/v1/notifications -> POST /api/v1/shares -> POST /api/v1/solutions -> POST /api/v1/tags -> POST /api/v1/tokens -> POST /api/v1/topics -> POST /api/v1/unlocks -> POST /api/v1/exports/raw -> GET /api/v1/files -> POST /api/v1/brackets -> POST /api/v1/comments -> POST /api/v1/files -> POST /api/v1/hints -> POST /api/v1/notifications -> POST /api/v1/shares -> POST /api/v1/tags -> POST /api/v1/tokens -> POST /api/v1/topics -> POST /api/v1/unlocks -> POST /api/v1/exports/raw -> GET /api/v1/solutions -> GET /api/v1/awards -> GET /api/v1/unlocks -> GET /api/v1/submissions -> POST /api/v1/submissions -> GET /api/v1/comments -> GET /api/v1/notifications -> POST /api/v1/flags -> GET /api/v1/flags -> GET /api/v1/flags/{flag_id},,,1
C014,gpt-4o-mini CADS,ctfd,GET /api/v1/users/{user_id}/solves,POST /api/v1/challenges -> POST /api/v1/challenges/attempt -> GET /api/v1/challenges -> POST /api/v1/teams -> GET /api/v1/teams -> POST /api/v1/users -> GET /api/v1/users -> POST /api/v1/configs -> POST /api/v1/configs/fields -> GET /api/v1/configs -> POST /api/v1/brackets -> POST /api/v1/comments -> POST /api/v1/files -> POST /api/v1/hints -> POST /api/v1/notifications -> POST /api/v1/shares -> POST /api/v1/solutions -> POST /api/v1/tags -> POST /api/v1/tokens -> POST /api/v1/topics -> POST /api/v1/unlocks -> POST /api/v1/exports/raw -> GET /api/v1/pages -> POST /api/v1/pages -> GET /api/v1/pages/{page_id} -> GET /api/v1/hints -> POST /api/v1/awards -> GET /api/v1/files -> GET /api/v1/solutions -> GET /api/v1/tags -> GET /api/v1/tokens -> GET /api/v1/topics -> POST /api/v1/teams/me/members -> GET /api/v1/teams/me -> POST /api/v1/flags -> GET /api/v1/flags -> GET /api/v1/awards -> GET /api/v1/comments -> GET /api/v1/notifications -> GET /api/v1/submissions -> POST /api/v1/submissions -> GET /api/v1/unlocks -> GET /api/v1/users/{user_id}/solves,POST /api/v1/challenges -> POST /api/v1/challenges/attempt -> GET /api/v1/challenges -> POST /api/v1/teams -> GET /api/v1/teams -> POST /api/v1/users -> GET /api/v1/users -> POST /api/v1/configs -> POST /api/v1/configs/fields -> GET /api/v1/configs -> POST /api/v1/brackets -> POST /api/v1/comments -> POST /api/v1/files -> POST /api/v1/hints -> POST /api/v1/notifications -> POST /api/v1/shares -> POST /api/v1/solutions -> POST /api/v1/tags -> POST /api/v1/tokens -> POST /api/v1/topics -> POST /api/v1/unlocks -> POST /api/v1/exports/raw -> GET /api/v1/pages -> POST /api/v1/pages -> GET /api/v1/pages/{page_id} -> GET /api/v1/hints -> POST /api/v1/awards -> GET /api/v1/files -> GET /api/v1/solutions -> GET /api/v1/tags -> GET /api/v1/tokens -> GET /api/v1/topics -> POST /api/v1/teams/me/members -> GET /api/v1/teams/me -> POST /api/v1/brackets -> POST /api/v1/comments -> POST /api/v1/hints -> POST /api/v1/notifications -> POST /api/v1/shares -> POST /api/v1/solutions -> POST /api/v1/tags -> POST /api/v1/tokens -> POST /api/v1/topics -> POST /api/v1/unlocks -> POST /api/v1/exports/raw -> GET /api/v1/files -> POST /api/v1/flags -> GET /api/v1/flags -> POST /api/v1/brackets -> POST /api/v1/comments -> POST /api/v1/files -> POST /api/v1/hints -> POST /api/v1/notifications -> POST /api/v1/shares -> POST /api/v1/tags -> POST /api/v1/tokens -> POST /api/v1/topics -> POST /api/v1/unlocks -> POST /api/v1/exports/raw -> GET /api/v1/solutions -> GET /api/v1/awards -> GET /api/v1/comments -> GET /api/v1/notifications -> GET /api/v1/submissions -> POST /api/v1/submissions -> GET /api/v1/unlocks -> GET /api/v1/users/me -> GET /api/v1/users/{user_id}/solves,,1
C015,gpt-4o-mini CADS,easyappointments,DELETE /admins/{adminId},POST /service_categories -> POST /customers -> GET /customers -> POST /services -> POST /providers -> GET /providers -> POST /unavailabilities -> POST /webhooks -> POST /appointments -> POST /secretaries -> POST /admins -> GET /admins -> DELETE /admins/{adminId},,,1
C016,gpt-4o-mini CADS,easyappointments,DELETE /services/{serviceId},POST /customers -> POST /admins -> POST /secretaries -> GET /customers -> POST /providers -> GET /providers -> POST /service_categories -> POST /unavailabilities -> POST /webhooks -> POST /appointments -> POST /services -> DELETE /services/{serviceId},POST /unavailabilities -> POST /service_categories -> POST /webhooks -> POST /customers -> POST /admins -> POST /secretaries -> GET /customers -> POST /providers -> GET /providers -> POST /services -> POST /appointments -> DELETE /services/{serviceId},POST /service_categories -> POST /unavailabilities -> POST /webhooks -> POST /services -> POST /customers -> POST /admins -> POST /secretaries -> GET /customers -> POST /providers -> GET /providers -> POST /appointments -> GET /appointments -> DELETE /services/{serviceId},1
C017,gpt-4o-mini CADS,easyappointments,DELETE /unavailabilities/{unavailabilityId},POST /service_categories -> POST /customers -> GET /customers -> POST /webhooks -> POST /appointments -> POST /services -> POST /admins -> POST /secretaries -> POST /providers -> GET /providers -> POST /unavailabilities -> DELETE /unavailabilities/{unavailabilityId},,,1
C018,gpt-4o-mini CADS,easyappointments,GET /services/{serviceId},POST /customers -> POST /admins -> POST /secretaries -> GET /customers -> POST /providers -> GET /providers -> POST /service_categories -> POST /unavailabilities -> POST /webhooks -> POST /appointments -> POST /services -> GET /services/{serviceId},POST /unavailabilities -> POST /service_categories -> POST /webhooks -> POST /customers -> POST /admins -> POST /secretaries -> GET /customers -> POST /providers -> GET /providers -> POST /services -> POST /appointments -> GET /services/{serviceId},POST /service_categories -> POST /unavailabilities -> POST /webhooks -> POST /services -> POST /customers -> POST /admins -> POST /secretaries -> GET /customers -> POST /providers -> GET /providers -> POST /appointments -> GET /appointments -> GET /services/{serviceId},1
C019,gpt-4o-mini CADS,gin-vue-admin,DELETE /info/deleteInfo,POST /api/createApi -> POST /api/getAllApis -> POST /menu/addBaseMenu -> POST /menu/getMenu -> POST /base/captcha -> POST /menu/addMenuAuthority -> POST /base/login -> POST /authority/createAuthority -> POST /fileUploadAndDownload/upload -> POST /user/admin_register -> POST /info/createInfo -> DELETE /info/deleteInfo,POST /authority/createAuthority -> POST /authority/getAuthorityList -> POST /api/createApi -> POST /api/getApiList -> POST /autoCode/addFunc -> POST /autoCode/createPackage -> POST /autoCode/createTemp -> POST /autoCode/initAPI -> POST /autoCode/initMenu -> POST /autoCode/installPlugin -> POST /autoCode/mcp -> POST /autoCode/preview -> POST /autoCode/pubPlug -> POST /autoCode/getSysHistory -> POST /fileUploadAndDownload/breakpointContinue -> POST /fileUploadAndDownload/importURL -> POST /fileUploadAndDownload/upload -> POST /fileUploadAndDownload/getFileList -> POST /info/createInfo -> GET /info/getInfoList -> POST /menu/addBaseMenu -> POST /menu/addMenuAuthority -> POST /menu/getMenuList -> POST /sysDictionaryDetail/createSysDictionaryDetail -> GET /sysDictionaryDetail/getSysDictionaryDetailList -> POST /sysParams/createSysParams -> GET /sysParams/getSysParamsList -> POST /sysVersion/exportVersion -> POST /sysVersion/importVersion -> GET /sysVersion/getSysVersionList -> POST /user/admin_register -> POST /user/getUserList -> POST /base/login -> POST /api/getAllApis -> POST /base/captcha -> POST /init/initdb -> POST /jwt/jsonInBlacklist -> GET /info/getInfoPublic -> POST /sysDictionary/createSysDictionary -> POST /menu/getMenu -> POST /menu/getBaseMenuTree -> DELETE /info/deleteInfo,POST /authority/createAuthority -> POST /authority/getAuthorityList -> POST /api/createApi -> POST /api/getApiList -> POST /autoCode/addFunc -> POST /autoCode/createPackage -> POST /autoCode/createTemp -> POST /autoCode/initAPI -> POST /autoCode/initMenu -> POST /autoCode/installPlugin -> POST /autoCode/mcp -> POST /autoCode/preview -> POST /autoCode/pubPlug -> POST /autoCode/getSysHistory -> POST /fileUploadAndDownload/breakpointContinue -> POST /fileUploadAndDownload/importURL -> POST /fileUploadAndDownload/upload -> POST /fileUploadAndDownload/getFileList -> POST /info/createInfo -> GET /info/getInfoList -> POST /menu/addBaseMenu -> POST /menu/addMenuAuthority -> POST /menu/getMenuList -> POST /sysDictionaryDetail/createSysDictionaryDetail -> GET /sysDictionaryDetail/getSysDictionaryDetailList -> POST /sysParams/createSysParams -> GET /sysParams/getSysParamsList -> POST /sysVersion/exportVersion -> POST /sysVersion/importVersion -> GET /sysVersion/getSysVersionList -> POST /user/admin_register -> POST /user/getUserList -> POST /base/login -> POST /api/getAllApis -> POST /base/captcha -> POST /init/initdb -> POST /jwt/jsonInBlacklist -> GET /info/getInfoPublic -> POST /menu/getMenu -> POST /menu/getBaseMenuTree -> POST /attachmentCategory/addCategory -> POST /sysDictionary/createSysDictionary -> POST /sysExportTemplate/createSysExportTemplate -> DELETE /info/deleteInfo,1
C020,gpt-4o-mini CADS,gin-vue-admin,DELETE /sysVersion/deleteSysVersion,POST /menu/addBaseMenu -> POST /menu/getMenu -> POST /api/createApi -> POST /api/getAllApis -> POST /api/getApiList -> POST /authority/createAuthority -> POST /authority/getAuthorityList -> POST /autoCode/addFunc -> POST /autoCode/createPackage -> POST /autoCode/createTemp -> POST /autoCode/initAPI -> POST /autoCode/initMenu -> POST /autoCode/installPlugin -> POST /autoCode/mcp -> POST /autoCode/preview -> POST /autoCode/pubPlug -> POST /autoCode/getSysHistory -> POST /fileUploadAndDownload/breakpointContinue -> POST /fileUploadAndDownload/importURL -> POST /fileUploadAndDownload/upload -> POST /fileUploadAndDownload/getFileList -> POST /info/createInfo -> GET /info/getInfoList -> POST /sysDictionaryDetail/createSysDictionaryDetail -> GET /sysDictionaryDetail/getSysDictionaryDetailList -> POST /sysParams/createSysParams -> GET /sysParams/getSysParamsList -> POST /sysVersion/exportVersion -> POST /sysVersion/importVersion -> GET /sysVersion/getSysVersionList -> POST /user/admin_register -> POST /user/getUserList -> POST /menu/addMenuAuthority -> POST /menu/getMenuList -> POST /base/login -> POST /base/captcha -> POST /init/initdb -> POST /jwt/jsonInBlacklist -> GET /info/getInfoPublic -> POST /menu/getBaseMenuTree -> POST /sysDictionary/createSysDictionary -> DELETE /sysVersion/deleteSysVersion,POST /authority/createAuthority -> POST /authority/getAuthorityList -> POST /api/createApi -> POST /api/getApiList -> POST /autoCode/addFunc -> POST /autoCode/createPackage -> POST /autoCode/createTemp -> POST /autoCode/initAPI -> POST /autoCode/initMenu -> POST /autoCode/installPlugin -> POST /autoCode/mcp -> POST /autoCode/preview -> POST /autoCode/pubPlug -> POST /autoCode/getSysHistory -> POST /fileUploadAndDownload/breakpointContinue -> POST /fileUploadAndDownload/importURL -> POST /fileUploadAndDownload/upload -> POST /fileUploadAndDownload/getFileList -> POST /info/createInfo -> GET /info/getInfoList -> POST /menu/addBaseMenu -> POST /menu/addMenuAuthority -> POST /menu/getMenuList -> POST /sysDictionaryDetail/createSysDictionaryDetail -> GET /sysDictionaryDetail/getSysDictionaryDetailList -> POST /sysParams/createSysParams -> GET /sysParams/getSysParamsList -> POST /sysVersion/exportVersion -> POST /sysVersion/importVersion -> GET /sysVersion/getSysVersionList -> POST /user/admin_register -> POST /user/getUserList -> POST /base/login -> POST /api/getAllApis -> POST /base/captcha -> POST /init/initdb -> POST /jwt/jsonInBlacklist -> GET /info/getInfoPublic -> POST /menu/getMenu -> POST /menu/getBaseMenuTree -> POST /attachmentCategory/addCategory -> POST /sysDictionary/createSysDictionary -> POST /sysExportTemplate/createSysExportTemplate -> DELETE /sysVersion/deleteSysVersion,,1
